URL,id,URL,speaker_name,headline,description,date given,event,duration,date published,tags,,
http://www.ted.com/talks/view/id/,1,http://www.ted.com/talks/view/id/1,Al Gore,Averting the climate crisis,"With the same humor and humanity he exuded in ""An Inconvenient Truth,"" Al Gore spells out 15 ways that individuals can address climate change immediately, from buying a hybrid to inventing a new, hotter brand name for global warming.",February-06,TED2006,0:16:17,6/27/06,"cars,alternative energy,culture,politics,science,climate change,environment,sustainability,global issues,technology",,
http://www.ted.com/talks/view/id/,7,http://www.ted.com/talks/view/id/7,David Pogue,Simplicity sells,"New York Times columnist David Pogue takes aim at technology_s worst interface-design offenders, and provides encouraging examples of products that get it right. To funny things up, he bursts into song.",February-06,TED2006,0:21:26,6/27/06,"simplicity,computers,software,interface design,music,media,entertainment,performance,technology",,
http://www.ted.com/talks/view/id/,92,http://www.ted.com/talks/view/id/92,Hans Rosling,The best stats you've ever seen,"You've never seen data presented like this. With the drama and urgency of a sportscaster, statistics guru Hans Rosling debunks myths about the so-called ""developing world.""",February-06,TED2006,0:19:50,6/27/06,"Asia,statistics,math,Google,Africa,economics,health,demo,visualizations,global development,global issues",,
http://www.ted.com/talks/view/id/,66,http://www.ted.com/talks/view/id/66,Ken Robinson,Do schools kill creativity?,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity.,February-06,TED2006,0:19:24,6/27/06,"dance,education,culture,parenting,children,teaching,creativity",,
http://www.ted.com/talks/view/id/,53,http://www.ted.com/talks/view/id/53,Majora Carter,Greening the ghetto,"In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and shows how minority neighborhoods suffer most from flawed urban policy.",February-06,TED2006,0:18:36,6/27/06,"MacArthur grant,pollution,activism,politics,inequality,cities,environment,green,business",,
http://www.ted.com/talks/view/id/,96,http://www.ted.com/talks/view/id/96,Tony Robbins,Why we do what we do,"Tony Robbins discusses the ""invisible forces"" that motivate everyone's actions -- and high-fives Al Gore in the front row.",February-06,TED2006,0:21:45,6/27/06,"goal-setting,psychology,motivation,culture,potential,politics,entertainment,business",,
http://www.ted.com/talks/view/id/,49,http://www.ted.com/talks/view/id/49,Joshua Prince-Ramus,Behind the design of Seattle's library,"Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, the Museum Plaza in Louisville and the Charles Wyly Theater in Dallas.",February-06,TED2006,0:19:58,7/10/06,"library,culture,architecture,design,collaboration",,
http://www.ted.com/talks/view/id/,86,http://www.ted.com/talks/view/id/86,Julia Sweeney,Letting go of God,"When two young Mormon missionaries knock on Julia Sweeney's door one day, it touches off a quest to completely rethink her own beliefs, in this excerpt from Sweeney's solo show ""Letting Go of God.""",February-06,TED2006,0:16:32,7/10/06,"atheism,Christianity,God,culture,comedy,religion,performance,storytelling,humor",,
http://www.ted.com/talks/view/id/,94,http://www.ted.com/talks/view/id/94,Dan Dennett,Let's teach religion -- all religion -- in schools,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on The Purpose-Driven Life, disputing its claim that, to be moral, one must deny evolution.",February-06,TED2006,0:24:45,7/18/06,"atheism,TED Brain Trust,consciousness,God,philosophy,cognitive science,evolution,brain,religion",,
http://www.ted.com/talks/view/id/,71,http://www.ted.com/talks/view/id/71,Rick Warren,A life of purpose,"Pastor Rick Warren, author of ""The Purpose-Driven Life,"" reflects on his own crisis of purpose in the wake of his book's wild success. He explains his belief that God's intention is for each of us to use our talents and influence to do good.",February-06,TED2006,0:21:02,7/18/06,"philanthropy,Christianity,God,happiness,motivation,culture,religion,leadership",,
