Video_ID,Title,beautiful,funny,ingenious,ok,fascinating,total_count,persuasive,inspiring,longwinded,informative,jaw-dropping,obnoxious,confusing,courageous,unconvincing,Totalviews,Retention_time_in_days,Video_Length_(sec),Nb_Words_in_Transcript_(without_tags),Words_per_second,Keywords,Is_a_Talk?
1,Averting the climate crisis,56,531,55,200,130,2885,265,409,109,435,116,125,62,138,254,3126453,3870,977,2125,2.17502558854,alternative energy;cars;climate change;culture;environment;global issues;politics;science;sustainability;technology,Yes
10,The killer American diet that's sweeping the planet,8,51,27,128,85,1679,318,143,8,721,56,14,28,31,61,2164367,3700,198,617,3.11616161616,culture;disease;food;global issues;health;health care;obesity;science,Yes
1000,Re-engineering the brain,26,38,257,24,389,1398,58,106,20,254,162,8,29,16,11,594581,2279,1054,2578,2.44592030361,biology;brain;neuroscience;science,Yes
1001,A one-man orchestra of the imagination,531,18,186,63,209,1538,4,258,31,5,145,15,13,34,26,1186780,2278,1159,838,0.723037100949,entertainment;live music;music;performance,No
1002,Teaching design for change,71,6,229,44,135,1859,227,688,38,172,27,3,8,195,16,880053,2275,1003,3090,3.08075772682,design;education;poverty,Yes
1003,The path to ending ethnic conflicts,3,0,1,42,10,382,35,41,72,89,2,13,11,10,53,299732,2274,1055,2157,2.04454976303,africa;iraq;peace;politics;violence;war,Yes
1004,America's native prisoners of war,167,1,46,56,129,4817,680,602,27,869,907,52,12,1201,68,1281870,2273,927,2210,2.38403451996,tedx;culture;history;photography;poverty,Yes
1005,Making global labor fair,5,0,30,41,34,938,195,188,39,173,43,13,14,119,44,562928,2272,1066,2498,2.34333958724,big problems;business;global issues;inequality;law;work,Yes
1006,Simplifying complexity,72,24,282,106,301,2064,293,238,8,427,50,9,139,22,93,1106995,2271,222,669,3.01351351351,ted fellows;complexity;design;science;simplicity,Yes
1007,Teaching kids real math with computers,48,50,293,147,265,3340,824,700,96,509,66,32,24,159,127,1447284,2268,1039,2927,2.81713185756,code;computers;education;math;technology,Yes
1008,A Darwinian theory of beauty,603,135,240,146,753,3598,364,326,70,585,124,20,31,23,178,1936109,2267,933,1918,2.05573419078,senses;beauty;brain;culture;design;evolution;society,Yes
1009,What a bike ride can teach you,126,7,16,27,90,952,39,417,9,29,16,10,9,147,10,519850,2266,946,2324,2.45665961945,tedx;children;education;leadership;motivation;personal growth;sports;storytelling,Yes
101,Casting a spell on the cello,215,2,1,58,32,437,7,45,20,0,17,9,5,5,21,384898,3587,459,387,0.843137254902,cello;entertainment;music;performance;vocals,No
1010,My green school dream,386,11,212,45,258,2155,90,707,11,99,96,26,11,154,49,901418,2265,815,1771,2.17300613497,culture;design;education;green,Yes
1011,Making law on the high seas,20,5,4,40,28,411,50,37,48,120,7,8,7,13,24,340227,2264,946,2622,2.77167019027,global issues;law;mission blue;oceans;politics;science,Yes
1012,Protecting the brain against concussion,5,77,10,119,19,1100,104,21,89,202,13,287,16,9,129,439110,2261,561,1190,2.12121212121,tedx;brain;children;health;medicine,Yes
1013,Women  wartime and the dream of peace,168,3,17,17,54,1339,172,456,18,69,60,17,4,265,19,482114,2260,1066,2244,2.10506566604,drones;global issues;iraq;politics;war;women,Yes
1014,Why work doesn't happen at work,122,581,622,567,634,8428,1482,1728,228,1219,117,94,52,490,492,4647869,2259,921,2990,3.24647122693,tedx;business;creativity;culture;design;technology;work,Yes
1015,Creative houses from reclaimed stuff,150,483,571,40,348,3425,322,893,21,202,117,11,9,252,6,1048170,2258,1077,2974,2.76137418756,tedx;architecture;cities;creativity;design;green;technology,Yes
1016,What's wrong with our food system,216,363,124,166,288,5551,649,1164,32,480,338,253,53,635,790,2054981,2254,314,879,2.79936305732,tedx;agriculture;business;environment;food;green;health;sustainability,Yes
1017,The walk from "no" to "yes",345,29,279,117,354,4558,744,1697,68,307,100,14,27,308,169,1674518,2253,1125,3179,2.82577777778,tedx;culture;global issues;politics;war,Yes
1018,Why not eat insects?,19,109,68,56,162,1381,333,120,14,277,82,24,14,69,34,1355538,2252,994,2455,2.46981891348,agriculture;environment;food;health;insects,Yes
1019,How I taught rats to sniff out land mines,32,6,502,15,294,1611,107,310,6,155,131,0,3,50,0,524065,2251,731,1652,2.25991792066,africa;tedx;animals;smell;technology;war,Yes
102,The illusion of consciousness,66,211,181,280,635,3106,176,201,191,663,85,40,99,25,253,2496289,3587,1308,3073,2.3493883792,ted brain trust;brain;consciousness;culture;entertainment;illusion;self;visualizations,Yes
1020,A vision for sustainable restaurants,28,21,154,84,106,1171,121,308,24,166,23,11,7,86,32,817491,2250,529,1639,3.09829867675,business;cities;culture;entertainment;food;global issues;sustainability,Yes
103,How to truly listen,1478,112,301,109,1253,8112,209,2017,103,471,1576,20,48,385,30,3929011,3586,1929,3228,1.6734059098,creativity;entertainment;live music;music;performance,No
1031,A call to men,609,57,73,114,222,6119,800,1976,23,304,286,62,16,1505,72,2100158,2243,673,1950,2.89747399703,gender equality;bullying;culture;feminism;global issues;men;women;yesallwomen,Yes
1032,A police chief with a difference,78,26,72,47,165,2191,139,776,10,93,139,14,9,596,27,791711,2240,527,1603,3.04174573055,crime;culture;education;global issues;india;politics;social change,Yes
